지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 증기압(hPa),합계 3시간 신적설(cm),평균 전운량(1/10),기사
108,서울,2023-01-01,-.2,,2.7,3.3,,1.3,{연무}0125-{연무}{강도0}0300-0450. {연무}0550-{연무}{강도0}0600-{연무}{강도0}0900-1030.
108,서울,2023-01-02,-4.5,,2.5,2,,0,
108,서울,2023-01-03,-5,,1.8,2,,0,
108,서울,2023-01-04,-1.8,,1.9,2.7,,1.9,
108,서울,2023-01-05,-1.6,,1.6,3.1,,3.6,
108,서울,2023-01-06,.6,3.9,2.2,4.6,3.7,5.8,{연무}1420-{연무}{강도0}1500-{연무}{강도0}1800-2040. {비}1755-{비}{강도0}1800-1840. {눈}1955-{시정(미만)}{1km}{눈}2032-{눈}{강도1}2100-{시정(이상)}{1km}{눈}2105-{시정(미만)}{1km}{눈}2127-{시정(이상)}{1km}{눈}2143-{시정(미만)}{1km}{눈}2217-{시정(미만)}{0.5km}{눈}2231-{시정(이상)}{0.5km}{눈}2322-{시정(이상)}{1km}{눈}2355-2357. {박무}2035-{박무}{강도2}2100-{박무}{강도2}2400-
108,서울,2023-01-07,1.5,.1,2.2,5.5,,5.6,-{박무}-{박무}{강도2}0300-{시정(미만)}{1km}{안개}0347-{안개}{강도0}0600-{시정(이상)}{1km}{박무}0616-{박무}{강도1}0900-{박무}{강도1}1200-1310. {비}0330-0445. {비}0545-0555. {연무}1305-{연무}{강도0}1500-{연무}{강도0}1800-2035. {박무}2030-{박무}{강도0}2100-2155. {연무}2150- {황사}2240-2245.{황사}{강도0}2400-
108,서울,2023-01-08,1.3,,1.7,4.6,,3,{달무리}0155-0220. -{황사}-{황사}{강도0}0300-{황사}{강도0}0600-{황사}{강도0}0900-{황사}{강도0}1200-{황사}{강도0}1500-{황사}{강도0}1800-{황사}{강도0}2100-{황사}{강도0}2400- {박무}0450-{박무}{강도0}0600-{박무}{강도0}0900-1130.
108,서울,2023-01-09,3.1,,2.3,4.7,,3.3,-{황사}-{황사}{강도0}0300- {연무}0350-0355.0530. {연무}0640-{연무}{강도0}0900-1155.
108,서울,2023-01-10,1.6,,1.5,4,,1.4,
108,서울,2023-01-11,2.6,,1.6,4.4,,1.4,{박무}0615-{박무}{강도0}0900-1045. {연무}1040-1105.
108,서울,2023-01-12,5.9,0,2.2,4.1,,1.8,{비}2305-{비}{강도0}2400-
