기준_날짜,행정동_ID,승객_수
2023-09-27,1101057,2062.0
2023-12-11,1108058,15209.0
2023-07-02,1118060,4822.0
2023-03-19,1116069,10780.0
2023-02-01,1123073,3913.0
2023-02-06,1123051,12996.0
2023-01-03,1107069,25435.0
2023-09-26,1125052,30307.0
2023-12-05,1120054,22265.0
2023-08-01,1102052,88197.0
2023-11-12,1124057,7210.0
2023-02-12,1101070,5270.0
2023-12-21,1123059,39508.0
2023-03-28,1123060,14479.0
2023-01-06,1109062,7508.0
2023-07-09,1124059,19165.0
2023-06-19,1102068,5109.0
2023-08-20,1113065,3533.0
2023-10-13,1123075,48462.0
2023-01-26,1102060,63763.0
2023-11-05,1113075,54677.0
2023-07-05,1112052,21806.0
2023-02-09,1116070,21119.0
2023-09-19,1102052,98216.0
2023-02-08,1103072,9418.0
2023-09-29,1110059,19931.0
2023-05-07,1105062,34608.0
2023-12-11,11170730,22372.0
2023-11-06,1112066,20913.0
2023-10-13,1124061,21005.0
2023-08-27,1105060,16966.0
2023-08-08,1118055,11772.0
2023-08-16,1113075,85730.0
2023-11-11,1119065,5340.0
2023-08-05,1111060,6978.0
2023-06-13,1115063,6534.0
2023-12-17,1102071,12894.0
2023-10-13,1108058,16022.0
2023-10-11,1116066,2399.0
2023-05-03,1120067,4773.0
2023-07-29,1102055,72465.0
2023-04-30,1109064,6504.0
2023-06-18,1119070,4038.0
2023-03-14,1125056,5450.0
2023-02-02,1125054,16459.0
2023-04-16,1103059,1839.0
2023-08-02,1104065,14021.0
2023-02-10,1124068,4917.0
2023-01-06,1117052,4081.0
2023-03-16,1110064,10874.0
2023-03-13,1121052,11974.0
2023-07-06,1104052,20662.0
2023-07-15,1115054,7369.0
2023-08-08,1101068,245.0
2023-09-01,1105059,56380.0
2023-10-10,1111078,27062.0
2023-01-22,1104058,1768.0
2023-07-07,1125056,6067.0
2023-02-24,1109073,7819.0
2023-09-11,1116074,37002.0
2023-05-16,1115061,4883.0
2023-06-22,1111051,12759.0
2023-01-16,1115062,5455.0
2023-11-20,1108077,16992.0
2023-10-19,1106087,20527.0
2023-09-05,1104058,5277.0
2023-02-25,1123078,15379.0
2023-11-27,1121083,16137.0
2023-01-14,1119071,3971.0
2023-08-25,1118060,8354.0
2023-03-24,1103066,4470.0
2023-06-09,1120069,6979.0
2023-03-24,1114070,5520.0
2023-10-29,1104052,10604.0
2023-09-19,1110062,13050.0
2023-12-20,11170740,
2023-12-04,1122060,93353.0
2023-06-03,1105055,3912.0
2023-09-11,1115060,6274.0
2023-10-11,1109073,8015.0
2023-05-20,1107069,19595.0
2023-06-30,1109065,23013.0
2023-03-05,1108062,7276.0
2023-05-08,1108085,35448.0
2023-07-08,1119070,4884.0
2023-06-22,1121073,26944.0
2023-07-09,1106080,8445.0
2023-12-16,1107071,23768.0
2023-07-22,1115064,4921.0
2023-08-11,1117052,4083.0
2023-10-24,1112065,29285.0
2023-04-01,1102055,82304.0
2023-04-11,1104056,44835.0
2023-03-31,1123065,19126.0
2023-07-19,1119073,25903.0
2023-04-26,1112072,
2023-04-05,1120065,6856.0
2023-10-30,1124082,15093.0
2023-04-26,1112066,
2023-01-24,1121066,5897.0
2023-05-09,1115051,64739.0
2023-06-05,1110052,10070.0
2023-11-21,1121078,14872.0
2023-03-29,1112060,7112.0
2023-01-07,1123080,9905.0
2023-01-01,1120073,23487.0
2023-09-21,1110064,11320.0
2023-12-27,1122057,23302.0
2023-04-30,1107060,27399.0
2023-10-04,1114078,32655.0
2023-07-07,1115052,32235.0
2023-04-12,1125067,5133.0
2023-06-13,1125053,17417.0
2023-01-16,1104072,5112.0
2023-10-31,1111056,29705.0
2023-12-07,1102068,5032.0
2023-01-01,1112066,8394.0
2023-03-05,1112060,3393.0
2023-06-09,1120053,65494.0
2023-09-28,1119075,2956.0
2023-11-11,1116063,6710.0
2023-02-19,1105064,4053.0
2023-10-07,1103059,4143.0
2023-05-05,1108072,12698.0
2023-05-13,1117052,2803.0
