지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 증기압(hPa),합계 3시간 신적설(cm),평균 전운량(1/10)
108,서울,2023-01-01,-0.2,0.0,2.7,3.3,0.0,1.3
108,서울,2023-01-02,-4.5,0.0,2.5,2.0,0.0,0.0
108,서울,2023-01-03,-5.0,0.0,1.8,2.0,0.0,0.0
108,서울,2023-01-04,-1.8,0.0,1.9,2.7,0.0,1.9
108,서울,2023-01-05,-1.6,0.0,1.6,3.1,0.0,3.6
108,서울,2023-01-06,0.6,3.9,2.2,4.6,3.7,5.8
108,서울,2023-01-07,1.5,0.1,2.2,5.5,0.0,5.6
108,서울,2023-01-08,1.3,0.0,1.7,4.6,0.0,3.0
108,서울,2023-01-09,3.1,0.0,2.3,4.7,0.0,3.3
108,서울,2023-01-10,1.6,0.0,1.5,4.0,0.0,1.4
108,서울,2023-01-11,2.6,0.0,1.6,4.4,0.0,1.4
108,서울,2023-01-12,5.9,0.0,2.2,4.1,0.0,1.8
108,서울,2023-01-13,8.3,37.3,2.5,10.8,0.0,10.0
108,서울,2023-01-14,6.6,1.6,2.5,9.1,0.0,9.8
108,서울,2023-01-15,-0.2,3.2,2.8,5.7,0.6,10.0
108,서울,2023-01-16,-4.6,0.0,2.7,2.8,0.0,2.8
108,서울,2023-01-17,-3.7,0.0,1.8,3.1,0.0,8.8
108,서울,2023-01-18,-1.9,0.0,2.0,3.1,0.0,1.1
108,서울,2023-01-19,-0.4,1.0,2.5,4.2,0.0,6.3
108,서울,2023-01-20,-3.3,0.0,3.7,2.7,0.0,0.3
108,서울,2023-01-21,-4.5,0.0,1.8,2.4,0.0,2.0
108,서울,2023-01-22,-0.6,0.0,2.6,3.7,0.0,7.5
108,서울,2023-01-23,-0.8,0.0,2.7,4.0,0.0,5.3
108,서울,2023-01-24,-14.7,0.0,4.6,1.0,0.0,1.0
108,서울,2023-01-25,-11.3,0.0,2.1,1.1,0.0,1.6
108,서울,2023-01-26,-6.0,0.8,2.5,3.2,4.5,8.5
108,서울,2023-01-27,-7.3,0.0,3.5,2.0,0.0,0.0
108,서울,2023-01-28,-6.0,0.0,2.4,2.2,0.0,1.0
108,서울,2023-01-29,-1.8,0.0,2.6,3.2,0.0,2.5
108,서울,2023-01-30,-0.9,0.0,2.1,3.1,0.0,0.0
108,서울,2023-01-31,2.4,0.0,2.7,5.2,0.0,5.4
108,서울,2023-02-01,0.9,0.0,3.2,4.5,0.0,2.5
108,서울,2023-02-02,-2.4,0.0,2.5,2.6,0.0,5.5
108,서울,2023-02-03,-1.6,0.0,2.2,2.5,0.0,3.0
108,서울,2023-02-04,-0.2,0.0,2.0,3.1,0.0,0.9
108,서울,2023-02-05,1.7,0.0,1.8,4.9,0.0,2.3
108,서울,2023-02-06,3.0,0.0,1.6,5.3,0.0,3.6
108,서울,2023-02-07,3.5,0.0,1.5,5.6,0.0,3.4
108,서울,2023-02-08,2.1,0.0,2.5,4.3,0.0,0.3
108,서울,2023-02-09,4.0,0.0,2.5,4.0,0.0,6.5
108,서울,2023-02-10,3.8,0.6,2.2,6.4,0.0,6.1
108,서울,2023-02-11,2.8,0.0,1.8,5.4,0.0,3.4
108,서울,2023-02-12,3.7,0.0,1.8,5.5,0.0,6.9
108,서울,2023-02-13,5.9,0.0,2.3,6.1,0.0,7.3
108,서울,2023-02-14,1.7,0.0,2.7,3.7,0.0,1.6
108,서울,2023-02-15,3.2,0.0,2.5,3.6,0.0,3.9
108,서울,2023-02-16,2.3,0.0,2.7,4.9,0.0,5.4
108,서울,2023-02-17,3.4,0.0,1.8,5.1,0.0,5.0
108,서울,2023-02-18,5.7,0.0,1.5,5.3,0.0,9.9
108,서울,2023-02-19,3.5,0.4,3.3,4.4,0.0,3.9
108,서울,2023-02-20,-0.5,0.0,3.3,2.7,0.0,0.0
108,서울,2023-02-21,-1.3,0.0,2.1,2.3,0.0,0.1
108,서울,2023-02-22,1.2,0.0,2.2,3.2,0.0,5.5
108,서울,2023-02-23,2.9,0.0,1.9,4.8,0.0,2.5
108,서울,2023-02-24,3.5,0.0,3.0,4.4,0.0,1.8
108,서울,2023-02-25,0.7,0.0,2.9,2.8,0.0,0.0
108,서울,2023-02-26,2.2,0.0,2.1,3.3,0.0,0.0
108,서울,2023-02-27,4.4,0.0,1.9,3.8,0.0,0.0
108,서울,2023-02-28,4.3,0.0,2.0,5.4,0.0,5.5
108,서울,2023-03-01,6.0,0.0,3.1,5.1,0.0,5.4
108,서울,2023-03-02,2.2,0.0,2.8,2.7,0.0,0.0
108,서울,2023-03-03,4.6,0.0,2.1,5.7,0.0,3.8
108,서울,2023-03-04,7.7,0.0,1.9,7.0,0.0,4.8
108,서울,2023-03-05,8.0,0.0,1.7,5.5,0.0,0.0
108,서울,2023-03-06,9.2,0.0,2.1,4.7,0.0,1.1
108,서울,2023-03-07,11.7,0.0,2.3,8.4,0.0,2.1
108,서울,2023-03-08,12.5,1.2,2.0,9.3,0.0,7.0
108,서울,2023-03-09,10.3,3.7,2.3,10.7,0.0,5.1
108,서울,2023-03-10,13.5,0.0,2.1,8.8,0.0,0.0
108,서울,2023-03-11,15.2,0.0,2.4,8.3,0.0,5.9
108,서울,2023-03-12,5.9,5.6,3.7,6.7,0.0,5.9
108,서울,2023-03-13,2.9,0.0,3.2,3.0,0.0,3.1
108,서울,2023-03-14,9.2,0.0,2.9,5.3,0.0,3.4
108,서울,2023-03-15,8.6,0.0,3.0,7.7,0.0,6.4
108,서울,2023-03-16,4.6,0.0,2.4,3.1,0.0,5.5
108,서울,2023-03-17,7.2,0.0,1.7,3.4,0.0,8.0
108,서울,2023-03-18,7.7,0.0,2.6,4.7,0.0,1.9
108,서울,2023-03-19,8.3,0.0,2.1,6.3,0.0,0.4
108,서울,2023-03-20,9.5,0.0,1.6,5.5,0.0,2.8
108,서울,2023-03-21,13.0,0.0,1.7,5.0,0.0,1.1
108,서울,2023-03-22,17.0,0.0,1.8,8.6,0.0,6.4
108,서울,2023-03-23,17.4,0.0,2.5,9.7,0.0,5.6
108,서울,2023-03-24,12.5,0.0,2.3,5.3,0.0,8.0
108,서울,2023-03-25,12.5,0.0,2.3,8.5,0.0,4.1
108,서울,2023-03-26,9.4,0.0,3.6,3.9,0.0,0.8
108,서울,2023-03-27,7.3,0.0,2.3,4.4,0.0,1.1
108,서울,2023-03-28,9.2,0.0,2.1,5.8,0.0,2.9
108,서울,2023-03-29,11.8,0.0,1.9,6.5,0.0,0.3
